date,promo,planned_ad_spend_pln,orders,visits,revenue_pln,orders_invalid
2024-05-04,1,155.71,110.0,1586,9741.85,0
2024-05-05,0,748.31,119.0,1767,11077.32,0
2024-05-06,0,179.2,52.0,513,4361.53,0
2024-05-07,1,951.56,118.0,1023,13179.18,0
2024-05-08,1,630.21,94.0,1044,10222.78,0
2024-05-09,0,633.51,78.0,812,7320.46,0
2024-05-10,0,377.05,94.0,972,8675.77,0
2024-05-11,0,999.71,138.0,1949,11906.25,0
2024-05-12,0,838.97,98.0,1105,8989.77,0
2024-05-13,0,217.61,62.0,867,6525.41,0
2024-05-14,1,554.23,104.0,1387,8518.11,0
2024-05-15,0,946.22,82.0,890,7065.65,0
2024-05-16,0,438.2,75.0,727,7009.06,0
2024-05-17,1,670.4,109.0,1266,12430.98,0
2024-05-18,1,664.24,117.0,1019,10232.47,0
2024-05-19,0,601.95,77.0,736,6524.47,0
2024-05-20,0,279.33,55.0,742,5684.12,0
2024-05-21,0,870.98,67.0,818,6234.13,0
2024-05-22,0,238.22,54.0,590,6284.56,0
2024-05-23,0,751.6,64.0,581,5729.89,0
2024-05-24,0,569.51,81.0,986,9162.62,0
2024-05-25,1,699.68,131.0,1836,13703.43,0
2024-05-26,0,766.18,83.0,1048,8379.79,0
2024-05-27,0,305.1,47.0,427,3761.76,0
2024-05-28,0,836.06,81.0,659,7540.37,0
2024-05-29,0,379.66,72.0,721,6140.27,0
2024-05-30,0,246.24,52.0,732,6025.31,0
2024-05-31,0,342.88,67.0,903,6909.17,0
2024-06-01,0,964.06,117.0,1738,13362.41,0
2024-06-02,0,184.55,70.0,903,6806.85,0
2024-06-03,0,528.07,76.0,683,6397.68,0
2024-06-04,0,352.5,76.0,686,8876.95,0
2024-06-05,0,239.34,77.0,693,7995.02,0
2024-06-06,0,791.1,99.0,1152,8123.4,0
2024-06-07,0,688.42,94.0,1081,7986.47,0
2024-06-08,0,217.0,88.0,959,9061.22,0
2024-06-09,0,891.33,104.0,1382,9717.92,0
2024-06-10,0,518.18,70.0,816,5774.7,0
2024-06-11,0,889.84,93.0,752,9824.15,0
2024-06-12,0,477.44,75.0,709,7475.34,0
2024-06-13,0,742.71,96.0,1214,10213.43,0
2024-06-14,0,356.05,88.0,987,9501.47,0
2024-06-15,0,585.67,96.0,1332,8846.28,0
2024-06-16,0,404.87,69.0,769,6458.56,0
2024-06-17,0,585.6,59.0,597,4944.63,0
2024-06-18,0,702.35,70.0,944,7644.83,0
2024-06-19,0,,55.0,480,4407.89,0
2024-06-20,0,429.44,58.0,673,4837.15,0
2024-06-21,1,266.11,94.0,1184,9099.58,0
2024-06-22,0,283.68,91.0,1314,8903.9,0
2024-06-23,0,501.03,92.0,1188,7380.62,0
2024-06-24,0,386.68,64.0,841,7321.15,0
2024-06-25,0,171.87,42.0,469,4329.51,0
2024-06-26,0,304.17,49.0,660,4727.32,0
2024-06-27,0,278.13,50.0,555,4022.43,0
2024-06-28,0,553.68,85.0,1041,8111.36,0
2024-06-29,0,379.61,94.0,827,10912.93,0
2024-06-30,1,924.94,132.0,1525,12526.81,0
2024-07-01,0,336.65,66.0,617,6545.39,0
2024-07-02,1,760.38,110.0,1098,10821.2,0
2024-07-03,0,982.29,88.0,852,9226.87,0
2024-07-04,0,340.94,75.0,907,8855.61,0
2024-07-05,0,935.52,109.0,1542,12139.41,0
2024-07-06,0,723.48,127.0,1146,11552.62,0
2024-07-07,0,527.72,98.0,1198,11028.15,0
2024-07-08,0,983.94,110.0,1530,8962.12,0
2024-07-09,0,796.36,83.0,954,6769.36,0
2024-07-10,0,713.26,94.0,1133,9735.96,0
2024-07-11,0,763.38,,1334,8280.79,0
2024-07-12,1,393.17,94.0,767,11228.11,0
2024-07-13,0,304.72,92.0,1094,9792.68,0
2024-07-14,1,175.94,95.0,919,7653.65,0
2024-07-15,0,594.31,65.0,628,5615.93,0
2024-07-16,1,607.52,102.0,1409,8386.54,0
2024-07-17,1,863.93,104.0,1202,8363.45,0
2024-07-18,0,646.64,79.0,864,9230.28,0
2024-07-19,0,623.7,91.0,1117,10264.02,0
2024-07-20,1,445.64,106.0,1405,11356.94,0
2024-07-21,0,627.28,75.0,693,8028.71,0
2024-07-22,0,800.74,62.0,637,6832.42,0
2024-07-23,1,758.17,81.0,1189,9497.97,0
2024-07-24,0,702.92,74.0,1109,7386.4,0
2024-07-25,1,646.91,82.0,783,7351.1,0
2024-07-26,0,603.71,93.0,965,10245.42,0
2024-07-27,1,772.27,137.0,1519,13601.77,0
2024-07-28,0,656.68,93.0,982,8440.51,0
2024-07-29,0,840.04,90.0,768,9366.65,0
2024-07-30,0,282.04,69.0,850,6475.47,0
2024-07-31,0,339.24,77.0,679,8756.49,0
2024-08-01,0,183.59,55.0,785,4573.65,0
2024-08-02,0,236.06,89.0,1335,7733.92,0
2024-08-03,0,450.52,95.0,1145,10405.18,0
2024-08-04,0,347.58,96.0,832,10409.58,0
2024-08-05,0,755.54,95.0,1149,9254.57,0
2024-08-06,0,879.92,88.0,776,8978.78,0
2024-08-07,0,593.45,95.0,840,9363.2,0
2024-08-08,0,735.4,103.0,1127,8827.53,0
2024-08-09,1,493.11,120.0,1436,10568.19,0
2024-08-10,0,530.5,110.0,1346,10885.82,0
2024-08-11,0,959.99,117.0,1459,13595.98,0
2024-08-12,1,487.2,101.0,1413,8642.88,0
2024-08-13,0,767.83,,940,8093.25,1
2024-08-14,1,304.36,87.0,938,7457.19,0
2024-08-15,0,396.22,57.0,533,4676.78,0
2024-08-16,0,549.92,75.0,659,7440.44,0
2024-08-17,0,407.25,100.0,841,11050.26,0
2024-08-18,0,928.43,102.0,865,9145.95,0
2024-08-19,0,699.18,60.0,635,4836.49,0
2024-08-20,0,438.04,61.0,611,6736.3,0
2024-08-21,1,519.19,95.0,1325,8559.83,0
2024-08-22,0,577.3,80.0,1070,7146.6,0
2024-08-23,0,240.49,78.0,1002,6455.22,0
2024-08-24,0,759.52,111.0,1297,12605.66,0
2024-08-25,1,664.11,109.0,889,12234.84,0
2024-08-26,0,683.42,78.0,821,8600.41,0
2024-08-27,0,619.62,75.0,941,6645.83,0
2024-08-28,1,307.25,84.0,774,7194.42,0
2024-08-29,0,466.97,65.0,727,5395.31,0
2024-08-30,0,820.92,118.0,1075,10401.76,0
2024-08-31,0,169.69,100.0,1267,10244.97,0
2024-09-01,0,373.05,96.0,1391,9717.77,0
2024-09-02,0,572.47,87.0,917,10363.5,0
2024-09-03,0,526.46,70.0,990,7862.0,0
2024-09-04,0,200.72,57.0,698,4581.49,0
2024-09-05,0,,71.0,949,7653.26,0
2024-09-06,0,460.16,98.0,1183,8731.69,0
2024-09-07,0,632.83,108.0,1411,12164.29,0
2024-09-08,1,778.07,130.0,1599,10565.11,0
