date,promo,planned_ad_spend_pln,orders,visits,revenue_pln
"2024-06-20","0","429.44","58","673","4837.15"
"2024-06-21","1","266.11","94","1184","9099.58"
"2024-06-22","0","283.68","91","1314","8903.9"
"2024-06-23","0","501.03","92","1188","7380.62"
"2024-06-24","0","386.68","64","841","7321.15"
"2024-06-25","0","171.87","42","469","4329.51"
"2024-06-26","0","304.17","49","660","4727.32"
"2024-06-27","0","278.13","50","555","4022.43"
"2024-06-28","0","553.68","85","1041","8111.36"
"2024-06-29","0","379.61","94","827","10912.93"
"2024-06-30","1","924.94","132","1525","12526.81"
"2024-07-01","0","336.65","66","617","6545.39"
"2024-07-02","1","760.38","110","1098","10821.2"
"2024-07-03","0","982.29","88","852","9226.87"
"2024-07-04","0","340.94","75","907","8855.61"
"2024-07-05","0","935.52","109","1542","12139.41"
"2024-07-06","0","723.48","127","1146","11552.62"
"2024-07-07","0","527.72","98","1198","11028.15"
"2024-07-08","0","983.94","110","1530","8962.12"
"2024-07-09","0","796.36","83","954","6769.36"
"2024-07-10","0","713.26","94","1133","9735.96"
"2024-07-11","0","763.38","","1334","8280.79"
"2024-07-12","1","393.17","94","767","11228.11"
"2024-07-13","0","304.72","92","1094","9792.68"
"2024-07-14","1","175.94","95","919","7653.65"
"2024-07-15","0","594.31","65","628","5615.93"
"2024-07-16","1","607.52","102","1409","8386.54"
"2024-07-17","1","863.93","104","1202","8363.45"
"2024-07-18","0","646.64","79","864","9230.28"
"2024-07-19","0","623.7","91","1117","10264.02"
"2024-07-20"," yes ","445.64","106","1405","11356.94"
"2024-07-21","0","627.28","75","693","8028.71"
"2024-07-22","0","800.74","62","637","6832.42"
"2024-07-23","1","758.17","81","1189","9497.97"
"2024-07-24","0","702.92","74","1109","7386.4"
"2024-07-25","1","646.91","82","783","7351.1"
"2024-07-26","0","603.71","93","965","10245.42"
"2024-07-27","1","772.27","137","1519","13601.77"
"2024-07-28","0","656.68","93","982","8440.51"
"2024-07-29","0","840.04","90","768","9366.65"
"2024-07-30","0","282.04","69","850","6475.47"
"2024-07-31","0","339.24","77","679","8756.49"
"2024-08-01","0","183.59","55","785","4573.65"
"2024-08-02","0","236.06","89","1335","7733.92"
"2024-08-03","0","450.52","95","1145","10405.18"
"2024-08-04","0","347.58","96","832","10409.58"
"2024-08-05","0","755.54","95","1149","9254.57"
"2024-08-06","0","879.92","88","776","8978.78"
"2024-08-07","0","593.45","95","840","9363.2"
"2024-08-08","0","735.4","103","1127","8827.53"
"2024-08-09","1","493.11","120","1436","10568.19"
"2024-08-10","0","530.5","110","1346","10885.82"
"2024-08-11","0","959.99","117","1459","13595.98"
"2024-08-12","1","487.2","101","1413","8642.88"
"2024-08-13","0","767.83","-5","940","8093.25"
"2024-08-14","1","304.36","87","938","7457.19"
"2024-08-15","0","396.22","57","533","4676.78"
"2024-08-16","0","549.92","75","659","7440.44"
"2024-08-17","0","407.25","100","841","11050.26"
"2024-08-18","0","928.43","102","865","9145.95"
"2024-08-19","0","699.18","60","635","4836.49"
"2024-08-20","0","438.04","61","611","6736.3"
"2024-08-21","1","519.19","95","1325","8559.83"
"2024-08-22","0","577.3","80","1070","7146.6"
"2024-08-23","0","240.49","78","1002","6455.22"
"2024-08-24","0","759.52","111","1297","12605.66"
"2024-08-25","1","664.11","109","889","12234.84"
"2024-08-26","0","683.42","78","821","8600.41"
"2024-08-27","0","619.62","75","941","6645.83"
"2024-08-28","1","307.25","84","774","7194.42"
"2024-08-29","0","466.97","65","727","5395.31"
"2024-08-30","0","820.92","118","1075","10401.76"
"2024-08-31","0","169.69","100","1267","10244.97"
"2024-09-01","0","373.05","96","1391","9717.77"
"2024-09-02","0","572.47","87","917","10363.5"
"2024-09-03","0","526.46","70","990","7862"
"2024-09-04","0","200.72","57","698","4581.49"
"2024-09-05","0","","71","949","7653.26"
"2024-09-06","0","460.16","98","1183","8731.69"
"2024-09-07","0","632.83","108","1411","12164.29"
"2024-09-08","1","778.07","130","1599","10565.11"
"2024-01-31","0","896.19","85","919","9355.78"
"2024-05-30","0","246.24","52","732","6025.31"
"2024-08-18","0","928.43","102","865","9145.95"
